customer_id,monthly_charges,total_charges,payment_method
C000277,39.17,900.91,UPI
C000278,51.93,415.44,Credit Card
C000279,35.98,287.84,Debit Card
C000280,89.26,1249.64,Bank Transfer
C000281,81.44,732.96,Bank Transfer
C000282,102.37,3480.58,Credit Card
C000283,61.17,489.36,UPI
C000284,53.52,1177.44,Debit Card
C000285,59.5,952.0,Debit Card
C000286,43.34,433.4,Debit Card
C000287,98.57,985.7,Credit Card
C000288,137.53,9352.04,Bank Transfer
C000289,55.52,1665.6,UPI
C000290,81.85,2373.65,Credit Card
C000291,66.89,401.34,Credit Card
C000292,78.83,1340.11,Debit Card
C000293,91.19,5380.21,Bank Transfer
C000294,47.14,707.1,UPI
C000295,60.43,846.02,UPI
C000296,94.06,846.54,Debit Card
C000297,80.18,320.72,UPI
C000298,76.55,3138.55,Bank Transfer
C000299,80.19,561.33,Debit Card
C000300,82.16,903.76,Debit Card
C000301,93.16,372.64,Bank Transfer
C000302,85.08,1361.28,UPI
C000303,68.99,2207.68,Bank Transfer
C000304,77.06,693.54,UPI
C000305,68.65,68.65,UPI
C000306,55.08,110.16,UPI
C000307,68.97,965.58,Bank Transfer
C000308,67.72,1896.16,Bank Transfer
C000309,36.04,468.52,Credit Card
C000310,85.5,1368.0,Bank Transfer
C000311,88.89,1422.24,Debit Card
C000312,80.88,2426.4,Debit Card
C000313,87.69,4647.57,Debit Card
C000314,66.48,598.32,Debit Card
C000315,59.72,955.52,Credit Card
C000316,88.98,355.92,Bank Transfer
C000317,48.82,488.2,Bank Transfer
C000318,48.13,144.39,UPI
C000319,78.96,3869.04,Bank Transfer
C000320,78.42,235.26,UPI
C000321,88.6,2835.2,UPI
C000322,35.79,322.11,Debit Card
C000323,68.05,204.15,Credit Card
C000324,47.39,379.12,Credit Card
C000325,87.11,2351.97,Bank Transfer
C000326,96.67,773.36,UPI
C000327,80.09,1601.8,Debit Card
C000328,58.84,764.92,UPI
C000329,55.03,385.21,Debit Card
C000330,61.76,494.08,UPI
C000331,53.18,531.8,Bank Transfer
C000332,66.82,1135.94,Bank Transfer
C000333,54.98,54.98,UPI
C000334,42.37,762.66,Credit Card
C000335,77.61,2638.74,Debit Card
C000336,79.16,1029.08,Credit Card
C000337,103.99,1663.84,Credit Card
C000338,61.34,552.06,UPI
C000339,32.2,322.0,Debit Card
C000340,86.31,517.86,Debit Card
C000341,88.56,1416.96,Bank Transfer
C000342,92.84,185.68,UPI
C000343,99.43,1093.73,UPI
C000344,99.71,897.39,UPI
C000345,50.46,302.76,Bank Transfer
C000346,100.96,1312.48,Bank Transfer
C000347,63.44,570.96,Debit Card
C000348,85.97,773.73,Bank Transfer
C000349,75.19,977.47,UPI
C000350,50.55,606.6,UPI
C000351,93.21,2889.51,Credit Card
C000352,60.88,791.44,Bank Transfer
C000353,107.18,321.54,UPI
C000354,54.74,985.32,UPI
C000355,49.91,99.82,Debit Card
C000356,56.74,1248.28,Bank Transfer
C000357,99.9,1598.4,UPI
C000358,38.66,154.64,Debit Card
C000359,88.26,2029.98,Credit Card
C000360,106.65,2666.25,Credit Card
C000361,66.61,2731.01,Debit Card
C000362,62.14,434.98,Bank Transfer
C000363,71.6,930.8,UPI
C000364,47.55,808.35,Bank Transfer
C000365,122.97,1844.55,Debit Card
C000366,83.4,417.0,UPI
C000367,45.59,319.13,UPI
C000368,53.86,1561.94,UPI
C000369,73.58,809.38,Bank Transfer
C000370,44.11,220.55,Bank Transfer
C000371,39.91,518.83,Debit Card
C000372,75.88,2959.32,Credit Card
C000373,90.12,2072.76,Debit Card
C000374,88.3,618.1,UPI
C000375,68.81,275.24,Debit Card
C000376,64.51,1548.24,Credit Card
C000377,71.03,1136.48,Debit Card
C000378,89.84,4402.16,Credit Card
C000379,44.86,1390.66,Credit Card
C000380,54.45,435.6,UPI
C000381,62.44,999.04,Credit Card
C000382,65.16,1172.88,Bank Transfer
C000383,68.91,275.64,Debit Card
C000384,69.5,903.5,Debit Card
C000385,83.48,751.32,Bank Transfer
C000386,34.74,590.58,Bank Transfer
C000387,37.97,303.76,UPI
C000388,56.7,850.5,Debit Card
C000389,87.27,785.43,Bank Transfer
C000390,56.96,968.32,UPI
C000391,69.18,1937.04,Debit Card
C000392,72.56,145.12,Debit Card
C000393,76.32,1297.44,Bank Transfer
C000394,101.29,3443.86,Credit Card
C000395,83.89,3187.82,Credit Card
C000396,89.95,449.75,Bank Transfer
C000397,67.46,1146.82,Credit Card
C000398,99.47,198.94,Debit Card
C000399,71.43,1642.89,UPI
C000400,30.89,1637.17,UPI
C000401,119.17,1191.7,Bank Transfer
C000402,70.92,425.52,UPI
C000403,80.6,5642.0,Bank Transfer
C000404,48.63,583.56,Credit Card
C000405,113.94,2506.68,Debit Card
C000406,54.13,1732.16,Credit Card
C000407,62.3,1495.2,Bank Transfer
C000408,39.42,630.72,Debit Card
C000409,77.29,772.9,Debit Card
C000410,64.37,2059.84,Debit Card
C000411,39.13,2504.32,Credit Card
C000412,68.65,137.3,Debit Card
C000413,71.9,143.8,Credit Card
C000414,65.05,1821.4,Credit Card
C000415,33.58,604.44,Debit Card
C000416,75.82,3715.18,Bank Transfer
C000417,44.65,1964.6,Debit Card
C000418,87.78,1053.36,Debit Card
C000419,58.89,765.57,Credit Card
C000420,88.55,1505.35,Debit Card
C000421,70.28,2108.4,Bank Transfer
C000422,71.31,641.79,Debit Card
C000423,95.53,955.3,Bank Transfer
C000424,53.69,1181.18,UPI
C000425,48.08,384.64,UPI
C000426,81.11,567.77,UPI
C000427,43.72,612.08,Debit Card
C000428,54.02,810.3,Credit Card
C000429,38.42,653.14,Bank Transfer
C000430,93.04,1395.6,UPI
C000431,49.95,999.0,Bank Transfer
C000432,56.91,1878.03,Credit Card
C000433,44.2,397.8,Bank Transfer
C000434,62.29,560.61,Bank Transfer
C000435,67.14,67.14,UPI
C000436,86.52,1038.24,Bank Transfer
C000437,43.56,87.12,UPI
C000438,57.98,869.7,Credit Card
C000439,98.45,2165.9,UPI
C000440,90.82,4541.0,Bank Transfer
C000441,56.44,620.84,Credit Card
C000442,69.01,1173.17,Debit Card
C000443,109.36,109.36,Debit Card
C000444,46.12,645.68,Credit Card
C000445,31.57,126.28,Credit Card
C000446,59.28,296.4,Bank Transfer
C000447,68.33,68.33,Debit Card
C000448,53.96,323.76,Credit Card
C000449,89.54,5730.56,Debit Card
C000450,74.21,445.26,Debit Card
C000451,57.91,289.55,Bank Transfer
C000452,59.22,414.54,Credit Card
C000453,55.07,275.35,UPI
C000454,86.59,3203.83,Credit Card
C000455,60.55,847.7,Debit Card
C000456,46.14,2860.68,UPI
C000457,89.24,1338.6,UPI
C000458,64.47,1160.46,Debit Card
C000459,42.8,513.6,UPI
C000460,104.26,1042.6,UPI
C000461,82.21,164.42,Credit Card
C000462,70.92,283.68,Debit Card
C000463,65.76,2104.32,Bank Transfer
C000464,64.39,2060.48,UPI
C000465,63.99,3903.39,Debit Card
C000466,64.53,1677.78,Credit Card
C000467,58.21,873.15,Credit Card
C000468,67.93,883.09,Credit Card
C000469,57.81,982.77,UPI
C000470,74.47,521.29,Bank Transfer
C000471,69.53,2572.61,Credit Card
C000472,55.99,1455.74,Bank Transfer
C000473,68.26,955.64,Debit Card
C000474,80.86,5498.48,Credit Card
C000475,30.0,300.0,UPI
C000476,81.56,652.48,Credit Card
C000477,45.47,1364.1,UPI
C000478,60.82,912.3,Debit Card
C000479,30.0,540.0,Bank Transfer
C000480,81.31,650.48,Bank Transfer
C000481,55.2,772.8,Bank Transfer
C000482,60.0,360.0,Credit Card
C000483,71.81,1292.58,Credit Card
C000484,30.58,1162.04,Debit Card
C000485,71.24,926.12,Bank Transfer
C000486,82.96,1908.08,Debit Card
C000487,73.48,661.32,UPI
C000488,62.12,807.56,Credit Card
C000489,70.82,212.46,Bank Transfer
C000490,68.49,1575.27,Credit Card
C000491,85.17,1277.55,Bank Transfer
C000492,95.1,475.5,Bank Transfer
C000493,61.78,1976.96,Credit Card
C000494,74.63,2238.9,Credit Card
C000495,56.65,339.9,Debit Card
C000496,78.33,626.64,Credit Card
C000497,79.2,5306.4,Credit Card
C000498,66.66,799.92,Credit Card
C000499,80.38,2572.16,UPI
C000500,70.06,980.84,UPI
C000501,69.04,1795.04,UPI
C000502,52.39,523.9,Debit Card
C000503,73.44,881.28,Debit Card
C000504,58.44,2512.92,Bank Transfer
C000505,87.39,611.73,Debit Card
C000506,53.14,1753.62,Credit Card
C000507,75.38,527.66,Bank Transfer
C000508,64.79,1036.64,Credit Card
C000509,75.33,3239.19,Bank Transfer
C000510,68.83,894.79,Debit Card
C000511,53.64,1072.8,UPI
C000512,91.88,643.16,Credit Card
C000513,52.26,574.86,Bank Transfer
C000514,82.85,911.35,UPI
C000515,36.03,288.24,Credit Card
C000516,64.22,64.22,Credit Card
C000517,100.58,804.64,UPI
C000518,64.49,1225.31,Debit Card
C000519,71.93,215.79,UPI
C000520,102.05,510.25,Debit Card
C000521,67.14,201.42,Bank Transfer
C000522,75.18,1127.7,Debit Card
C000523,82.09,1559.71,Bank Transfer
C000524,42.41,1357.12,Bank Transfer
C000525,60.29,904.35,Bank Transfer
C000526,72.6,2541.0,Bank Transfer
C000527,38.08,837.76,Credit Card
C000528,97.4,194.8,Bank Transfer
C000529,85.13,1447.21,Credit Card
C000530,82.15,1725.15,Credit Card
C000531,96.4,867.6,Bank Transfer
C000532,84.46,3040.56,Debit Card
C000533,65.4,130.8,Debit Card
C000534,37.36,1457.04,UPI
C000535,56.38,1071.22,Credit Card
C000536,56.96,626.56,Credit Card
C000537,82.38,1482.84,Debit Card
C000538,71.62,501.34,Credit Card
C000539,38.69,812.49,Debit Card
C000540,87.3,2531.7,UPI
C000541,96.59,96.59,Bank Transfer
C000542,99.51,398.04,Bank Transfer
C000543,47.4,1090.2,Bank Transfer
C000544,76.43,458.58,UPI
C000545,49.87,99.74,Credit Card
C000546,108.78,326.34,UPI
C000547,70.61,988.54,Credit Card
C000548,62.6,500.8,Credit Card
C000549,58.92,942.72,Bank Transfer
C000550,76.68,460.08,Debit Card
C000551,80.31,1525.89,Debit Card
C000552,37.04,296.32,Bank Transfer
C000553,97.94,1567.04,Credit Card
C000554,79.42,79.42,UPI
C000555,97.78,1662.26,Bank Transfer
C000556,104.21,1458.94,Bank Transfer
C000557,68.01,612.09,UPI
C000558,87.14,609.98,Credit Card
C000559,58.48,3333.36,Bank Transfer
C000560,60.65,606.5,Bank Transfer
C000561,101.45,2333.35,Credit Card
C000562,55.22,773.08,UPI
C000563,73.93,1922.18,UPI
C000564,51.84,362.88,Debit Card
C000565,56.89,796.46,Debit Card
C000566,59.9,239.6,UPI
C000567,98.94,2968.2,Debit Card
C000568,80.28,1766.16,Debit Card
C000569,86.84,1476.28,Credit Card
C000570,33.86,203.16,Bank Transfer
C000571,70.69,565.52,Debit Card
C000572,62.35,1621.1,Debit Card
C000573,79.85,1597.0,Credit Card
C000574,118.13,1653.82,UPI
C000575,30.0,60.0,Debit Card
C000576,77.99,2261.71,Bank Transfer
C000577,114.1,3194.8,Debit Card
C000578,59.8,3109.6,Bank Transfer
C000579,73.0,949.0,UPI
C000580,83.53,2672.96,Debit Card
C000581,30.0,270.0,Bank Transfer
C000582,75.32,527.24,Bank Transfer
C000583,54.12,3084.84,Bank Transfer
C000584,110.96,221.92,UPI
C000585,65.85,131.7,Bank Transfer
C000586,55.79,2120.02,Credit Card
C000587,86.93,2868.69,UPI
C000588,79.76,2153.52,Bank Transfer
C000589,87.92,615.44,UPI
C000590,108.21,1298.52,UPI
C000591,58.3,641.3,Credit Card
C000592,104.38,2400.74,Bank Transfer
C000593,107.55,430.2,UPI
C000594,54.63,710.19,UPI
C000595,56.57,1753.67,Bank Transfer
C000596,70.94,141.88,Credit Card
C000597,66.01,1254.19,Debit Card
C000598,104.18,937.62,Bank Transfer
C000599,52.72,1634.32,Debit Card
C000600,74.89,2920.71,Bank Transfer
C000601,54.69,492.21,Bank Transfer
C000602,72.17,1154.72,UPI
C000603,112.83,2707.92,Bank Transfer
C000604,106.46,1064.6,Credit Card
C000605,77.57,465.42,Credit Card
C000606,82.6,4873.4,Bank Transfer
C000607,79.43,1191.45,UPI
C000608,63.92,1150.56,UPI
C000609,108.33,974.97,Debit Card
C000610,96.39,674.73,Bank Transfer
C000611,74.69,298.76,Debit Card
C000612,65.66,1575.84,UPI
C000613,66.96,2075.76,Credit Card
C000614,76.78,691.02,UPI
C000615,69.3,2079.0,Credit Card
C000616,92.79,1113.48,Debit Card
C000617,79.58,1034.54,UPI
C000618,50.93,203.72,Credit Card
C000619,47.07,470.7,Debit Card
C000620,89.82,628.74,UPI
C000621,46.87,1921.67,Bank Transfer
C000622,63.03,315.15,UPI
C000623,61.21,1713.88,Debit Card
C000624,45.23,497.53,UPI
C000625,76.2,4419.6,Debit Card
C000626,67.52,1755.52,Credit Card
C000627,57.24,1888.92,UPI
C000628,111.7,781.9,Debit Card
C000629,30.0,690.0,Debit Card
C000630,52.73,3638.37,Bank Transfer
C000631,58.47,350.82,Credit Card
C000632,42.83,685.28,Bank Transfer
C000633,115.16,230.32,Bank Transfer
C000634,114.95,7126.9,UPI
C000635,56.31,337.86,Debit Card
C000636,95.37,2861.1,Debit Card
C000637,81.93,901.23,Debit Card
C000638,103.12,515.6,UPI
C000639,67.86,4003.74,UPI
C000640,78.63,78.63,Credit Card
C000641,98.05,2353.2,Bank Transfer
C000642,94.99,5414.43,Credit Card
C000643,73.03,219.09,Credit Card
C000644,51.15,358.05,UPI
C000645,54.73,273.65,Debit Card
C000646,33.02,726.44,UPI
C000647,85.75,85.75,UPI
C000648,74.24,1484.8,UPI
C000649,75.79,682.11,Credit Card
C000650,69.5,347.5,Debit Card
C000651,47.13,1555.29,UPI
C000652,76.25,991.25,Credit Card
C000653,82.11,1970.64,UPI
C000654,52.64,526.4,Bank Transfer
C000655,69.43,1735.75,Debit Card
C000656,57.03,798.42,Credit Card
C000657,65.69,1773.63,Bank Transfer
C000658,47.29,567.48,UPI
C000659,64.64,711.04,Bank Transfer
C000660,102.55,717.85,Bank Transfer
C000661,59.96,1319.12,Credit Card
C000662,56.38,394.66,Debit Card
C000663,57.64,3861.88,Debit Card
C000664,66.2,2052.2,Credit Card
C000665,105.85,635.1,UPI
C000666,98.11,1569.76,Bank Transfer
C000667,67.13,805.56,Debit Card
C000668,57.14,914.24,Debit Card
C000669,34.78,834.72,Bank Transfer
C000670,51.77,1449.56,UPI
C000671,30.51,976.32,Bank Transfer
C000672,84.8,932.8,Credit Card
C000673,96.71,1547.36,Credit Card
C000674,62.5,750.0,UPI
C000675,77.68,2485.76,Debit Card
C000676,48.22,626.86,Debit Card
C000677,31.2,249.6,UPI
C000678,71.11,142.22,UPI
C000679,77.67,466.02,Credit Card
C000680,104.08,1665.28,Credit Card
C000681,111.26,1668.9,UPI
C000682,64.43,902.02,Debit Card
C000683,88.24,3970.8,Bank Transfer
C000684,76.3,2365.3,Bank Transfer
C000685,70.05,1611.15,Bank Transfer
C000686,69.25,969.5,Credit Card
C000687,67.1,134.2,UPI
C000688,67.96,815.52,Debit Card
C000689,103.13,206.26,Credit Card
C000690,74.29,3863.08,UPI
C000691,104.84,943.56,UPI
C000692,52.03,832.48,Bank Transfer
C000693,30.0,660.0,Bank Transfer
C000694,60.74,364.44,Debit Card
C000695,53.28,905.76,Debit Card
C000696,40.13,321.04,Bank Transfer
C000697,96.01,1152.12,Bank Transfer
C000698,43.27,43.27,UPI
C000699,81.66,1143.24,Debit Card
C000700,110.28,2757.0,UPI
C000701,47.0,282.0,Debit Card
C000702,65.38,1438.36,Debit Card
C000703,97.05,291.15,Credit Card
C000704,61.69,246.76,Bank Transfer
C000705,76.65,766.5,Credit Card
C000706,82.79,496.74,Debit Card
C000707,73.47,73.47,UPI
C000708,61.03,3112.53,Debit Card
C000709,54.38,435.04,Credit Card
C000710,48.1,288.6,Bank Transfer
C000711,81.93,1392.81,UPI
C000712,56.84,1364.16,Debit Card
C000713,93.92,4132.48,Debit Card
C000714,101.78,1526.7,Bank Transfer
C000715,46.86,609.18,Debit Card
C000716,84.76,254.28,Debit Card
C000717,111.18,222.36,Bank Transfer
C000718,52.89,158.67,Credit Card
C000719,94.01,846.09,Credit Card
C000720,81.24,1299.84,Credit Card
C000721,89.21,2587.09,Credit Card
C000722,54.87,713.31,UPI
C000723,108.1,6702.2,UPI
C000724,56.61,3962.7,Bank Transfer
C000725,82.81,1904.63,Bank Transfer
C000726,68.74,824.88,Bank Transfer
C000727,80.73,968.76,UPI
C000728,50.33,50.33,Debit Card
C000729,45.45,1136.25,UPI
C000730,75.74,605.92,Credit Card
C000731,62.65,3759.0,Credit Card
C000732,61.97,1983.04,Debit Card
C000733,80.9,566.3,Bank Transfer
C000734,40.11,561.54,UPI
C000735,94.14,1600.38,Debit Card
C000736,72.39,723.9,Debit Card
C000737,85.26,341.04,UPI
C000738,80.55,563.85,Debit Card
C000739,81.65,1469.7,Bank Transfer
C000740,46.03,368.24,UPI
C000741,93.29,746.32,UPI
C000742,75.46,1584.66,Debit Card
C000743,60.5,1028.5,Bank Transfer
C000744,67.49,1012.35,Bank Transfer
C000745,77.24,1467.56,Credit Card
C000746,73.6,1987.2,UPI
C000747,81.94,737.46,Credit Card
C000748,103.07,309.21,Bank Transfer
C000749,49.27,788.32,Bank Transfer
C000750,85.01,4930.58,Credit Card
C000751,67.85,1967.65,UPI
C000752,92.85,1392.75,Credit Card
C000753,102.51,1640.16,Bank Transfer
C000754,73.92,739.2,Bank Transfer
C000755,82.42,906.62,Debit Card
C000756,94.32,471.6,Debit Card
