customer_id,gender,age,tenure_months,contract_type,churn
C000195,Male,27,45,Two Year,No
C000196,Female,55,15,One Year,No
C000197,Female,18,2,Month-to-Month,No
C000198,Female,44,9,Month-to-Month,No
C000199,Male,63,10,Month-to-Month,Yes
C000200,Male,25,2,Month-to-Month,Yes
C000201,Male,63,51,Two Year,No
C000202,Female,59,17,Month-to-Month,Yes
C000203,Male,34,17,Month-to-Month,No
C000204,Male,26,4,Month-to-Month,Yes
C000205,Female,23,23,One Year,No
C000206,Male,60,12,Month-to-Month,Yes
C000207,Female,42,17,Month-to-Month,No
C000208,Female,56,9,Month-to-Month,No
C000209,Female,45,30,Two Year,No
C000210,Male,50,14,Month-to-Month,No
C000211,Male,54,57,Two Year,No
C000212,Male,26,28,Two Year,No
C000213,Male,35,2,Month-to-Month,Yes
C000214,Male,38,13,One Year,No
C000215,Male,19,5,Month-to-Month,Yes
C000216,Male,60,70,Two Year,No
C000217,Female,55,12,One Year,No
C000218,Male,57,16,Month-to-Month,Yes
C000219,Female,53,16,Month-to-Month,No
C000220,Male,60,17,Month-to-Month,No
C000221,Male,54,65,Two Year,No
C000222,Male,32,7,Month-to-Month,No
C000223,Female,45,25,One Year,No
C000224,Female,35,8,Month-to-Month,No
C000225,Female,51,19,Two Year,No
C000226,Female,39,11,Month-to-Month,No
C000227,Male,28,20,One Year,No
C000228,Female,30,6,Month-to-Month,No
C000229,Male,21,27,One Year,No
C000230,Male,39,12,Month-to-Month,No
C000231,Female,24,15,Month-to-Month,Yes
C000232,Female,60,6,Month-to-Month,No
C000233,Female,41,23,One Year,No
C000234,Female,21,9,Month-to-Month,Yes
C000235,Female,45,13,One Year,No
C000236,Female,32,14,Month-to-Month,No
C000237,Female,18,30,Two Year,No
C000238,Female,20,62,Two Year,No
C000239,Male,31,13,One Year,No
C000240,Female,55,2,Month-to-Month,No
C000241,Female,18,4,Month-to-Month,Yes
C000242,Male,55,6,Month-to-Month,Yes
C000243,Female,55,3,Month-to-Month,No
C000244,Male,38,8,One Year,No
C000245,Male,46,24,One Year,No
C000246,Female,22,54,Two Year,No
C000247,Male,27,10,Month-to-Month,No
C000248,Male,45,17,One Year,No
C000249,Male,38,14,Month-to-Month,Yes
C000250,Male,24,35,One Year,No
C000251,Female,20,9,Month-to-Month,No
C000252,Male,62,15,Month-to-Month,No
C000253,Female,64,3,Month-to-Month,No
C000254,Male,37,28,One Year,No
C000255,Male,36,22,Two Year,No
C000256,Male,52,10,Month-to-Month,No
C000257,Male,21,4,Month-to-Month,Yes
C000258,Female,22,13,Month-to-Month,Yes
C000259,Female,18,35,One Year,No
C000260,Male,21,6,Month-to-Month,No
C000261,Male,29,32,One Year,No
C000262,Female,44,64,Two Year,No
C000263,Male,59,24,Two Year,No
C000264,Male,40,5,Month-to-Month,Yes
C000265,Male,42,31,Two Year,No
C000266,Female,38,19,One Year,No
C000267,Female,41,13,Month-to-Month,No
C000268,Female,42,19,One Year,No
C000269,Male,62,19,Two Year,No
C000270,Male,63,16,Month-to-Month,Yes
C000271,Female,49,13,Month-to-Month,No
C000272,Female,49,15,Month-to-Month,No
C000273,Female,22,24,One Year,No
C000274,Female,53,1,Month-to-Month,Yes
C000275,Male,63,33,Two Year,No
C000276,Female,59,7,One Year,No
C000277,Male,59,23,One Year,No
C000278,Female,56,8,Month-to-Month,No
C000279,Male,33,8,One Year,No
C000280,Female,50,14,Month-to-Month,Yes
C000281,Female,38,9,Month-to-Month,No
C000282,Female,26,34,One Year,No
C000283,Female,23,8,Month-to-Month,No
C000284,Male,62,22,One Year,No
C000285,Female,52,16,Month-to-Month,No
C000286,Male,56,10,Month-to-Month,No
C000287,Male,39,10,Month-to-Month,No
C000288,Male,58,68,Two Year,No
C000289,Male,22,30,One Year,Yes
C000290,Female,59,29,One Year,No
C000291,Male,40,6,Month-to-Month,No
C000292,Male,34,17,Month-to-Month,No
C000293,Male,29,59,Two Year,No
C000294,Female,40,15,Month-to-Month,No
C000295,Female,33,14,Month-to-Month,No
C000296,Female,20,9,One Year,No
C000297,Female,47,4,Month-to-Month,Yes
C000298,Male,39,41,Two Year,No
C000299,Male,26,7,One Year,No
C000300,Female,46,11,Month-to-Month,No
C000301,Male,64,4,Month-to-Month,Yes
C000302,Male,54,16,Month-to-Month,Yes
C000303,Male,40,32,Two Year,No
C000304,Female,30,9,One Year,No
C000305,Female,49,1,Month-to-Month,No
C000306,Male,63,2,Month-to-Month,Yes
C000307,Female,64,14,One Year,No
C000308,Female,40,28,One Year,No
C000309,Female,62,13,Month-to-Month,No
C000310,Female,34,16,Month-to-Month,No
C000311,Female,57,16,Month-to-Month,No
C000312,Male,38,30,One Year,No
C000313,Female,19,53,Two Year,No
C000314,Male,54,9,Month-to-Month,Yes
C000315,Male,23,16,One Year,No
C000316,Female,61,4,Month-to-Month,Yes
C000317,Male,35,10,Month-to-Month,No
C000318,Male,47,3,Month-to-Month,No
C000319,Male,39,49,Two Year,No
C000320,Female,50,3,Month-to-Month,Yes
C000321,Female,47,32,One Year,No
C000322,Male,34,9,Month-to-Month,No
C000323,Female,60,3,Month-to-Month,No
C000324,Female,49,8,Month-to-Month,No
C000325,Female,59,27,One Year,Yes
C000326,Female,31,8,Month-to-Month,No
C000327,Male,27,20,One Year,No
C000328,Male,64,13,Month-to-Month,Yes
C000329,Female,53,7,Month-to-Month,No
C000330,Female,51,8,Month-to-Month,No
C000331,Male,26,10,Month-to-Month,Yes
C000332,Male,59,17,Month-to-Month,Yes
C000333,Female,45,1,Month-to-Month,Yes
C000334,Male,28,18,One Year,No
C000335,Female,31,34,One Year,No
C000336,Female,56,13,Month-to-Month,Yes
C000337,Male,64,16,Month-to-Month,No
C000338,Male,36,9,Month-to-Month,No
C000339,Female,32,10,Month-to-Month,No
C000340,Female,45,6,Month-to-Month,No
C000341,Male,41,16,Two Year,No
C000342,Female,25,2,Month-to-Month,No
C000343,Male,60,11,Month-to-Month,Yes
C000344,Female,26,9,Month-to-Month,No
C000345,Male,64,6,Month-to-Month,No
C000346,Male,50,13,One Year,No
C000347,Male,50,9,Month-to-Month,No
C000348,Female,36,9,Month-to-Month,No
C000349,Female,20,13,One Year,No
C000350,Male,27,12,Month-to-Month,No
C000351,Female,57,31,One Year,No
C000352,Male,64,13,One Year,No
C000353,Male,59,3,Month-to-Month,Yes
C000354,Female,18,18,One Year,No
C000355,Female,46,2,Month-to-Month,No
C000356,Male,51,22,One Year,No
C000357,Female,30,16,Month-to-Month,No
C000358,Female,18,4,Month-to-Month,No
C000359,Male,51,23,One Year,No
C000360,Male,46,25,Two Year,No
C000361,Female,64,41,Two Year,No
C000362,Male,30,7,One Year,No
C000363,Male,46,13,Month-to-Month,Yes
C000364,Female,56,17,Month-to-Month,No
C000365,Male,41,15,Month-to-Month,No
C000366,Male,43,5,Month-to-Month,No
C000367,Female,34,7,Month-to-Month,Yes
C000368,Female,24,29,Two Year,No
C000369,Male,30,11,Month-to-Month,Yes
C000370,Male,22,5,Month-to-Month,No
C000371,Female,43,13,Month-to-Month,No
C000372,Female,20,39,Two Year,No
C000373,Female,24,23,One Year,No
C000374,Female,56,7,One Year,No
C000375,Male,18,4,Month-to-Month,Yes
C000376,Female,34,24,Two Year,No
C000377,Female,60,16,Month-to-Month,No
C000378,Male,42,49,Two Year,No
C000379,Female,20,31,One Year,No
C000380,Male,32,8,Month-to-Month,Yes
C000381,Female,46,16,Month-to-Month,No
C000382,Female,60,18,One Year,No
C000383,Female,49,4,Month-to-Month,Yes
C000384,Male,43,13,Two Year,No
C000385,Male,33,9,Month-to-Month,No
C000386,Female,42,17,Month-to-Month,No
C000387,Male,45,8,Month-to-Month,No
C000388,Male,26,15,Month-to-Month,No
C000389,Male,18,9,Month-to-Month,Yes
C000390,Male,46,17,Month-to-Month,No
C000391,Male,39,28,One Year,No
C000392,Male,33,2,Month-to-Month,No
C000393,Female,58,17,Two Year,No
C000394,Female,61,34,One Year,No
C000395,Male,58,38,Two Year,No
C000396,Female,24,5,Month-to-Month,Yes
C000397,Female,31,17,Month-to-Month,No
C000398,Female,46,2,Month-to-Month,No
C000399,Female,36,23,One Year,No
C000400,Male,36,53,Two Year,No
C000401,Female,19,10,Month-to-Month,No
C000402,Female,58,6,Month-to-Month,Yes
C000403,Male,62,70,Two Year,No
C000404,Male,32,12,Month-to-Month,No
C000405,Female,20,22,One Year,No
C000406,Female,28,32,One Year,No
C000407,Female,63,24,Two Year,No
C000408,Female,47,16,Month-to-Month,No
C000409,Female,57,10,Month-to-Month,Yes
C000410,Female,35,32,One Year,No
C000411,Male,19,64,Two Year,No
C000412,Female,49,2,Month-to-Month,No
C000413,Female,25,2,Month-to-Month,Yes
C000414,Male,39,28,One Year,Yes
C000415,Male,23,18,Two Year,No
C000416,Male,29,49,Two Year,No
C000417,Male,64,44,Two Year,No
C000418,Female,57,12,Month-to-Month,Yes
C000419,Female,53,13,Month-to-Month,No
C000420,Female,32,17,One Year,No
C000421,Female,45,30,Two Year,No
C000422,Female,62,9,Month-to-Month,No
C000423,Female,35,10,Month-to-Month,No
C000424,Male,19,22,One Year,No
C000425,Female,30,8,Month-to-Month,No
C000426,Male,62,7,Month-to-Month,No
C000427,Male,32,14,One Year,No
C000428,Female,37,15,One Year,No
C000429,Male,46,17,One Year,No
C000430,Female,59,15,Month-to-Month,No
C000431,Male,46,20,One Year,No
C000432,Female,20,33,One Year,No
C000433,Male,36,9,One Year,No
C000434,Female,20,9,One Year,No
C000435,Female,31,1,Month-to-Month,Yes
C000436,Female,57,12,Month-to-Month,No
C000437,Female,21,2,Month-to-Month,No
C000438,Female,28,15,Month-to-Month,No
C000439,Male,48,22,One Year,No
C000440,Male,60,50,Two Year,No
C000441,Male,49,11,One Year,No
C000442,Female,44,17,One Year,No
C000443,Male,47,1,Month-to-Month,No
C000444,Female,60,14,Month-to-Month,Yes
C000445,Female,19,4,Month-to-Month,No
C000446,Male,26,5,Month-to-Month,Yes
C000447,Male,45,1,Month-to-Month,Yes
C000448,Female,48,6,One Year,Yes
C000449,Male,51,64,Two Year,No
C000450,Female,32,6,Month-to-Month,No
C000451,Female,42,5,Month-to-Month,Yes
C000452,Female,53,7,One Year,No
C000453,Female,25,5,Month-to-Month,No
C000454,Female,26,37,Two Year,No
C000455,Male,54,14,One Year,No
C000456,Male,62,62,Two Year,No
C000457,Female,56,15,Month-to-Month,No
C000458,Female,49,18,One Year,No
C000459,Male,34,12,Month-to-Month,Yes
C000460,Male,52,10,One Year,No
C000461,Female,54,2,Month-to-Month,No
C000462,Male,36,4,Month-to-Month,Yes
C000463,Female,61,32,One Year,No
C000464,Male,46,32,One Year,No
C000465,Female,24,61,Two Year,No
C000466,Male,45,26,One Year,No
C000467,Female,26,15,One Year,No
C000468,Male,45,13,Month-to-Month,Yes
C000469,Male,23,17,One Year,No
C000470,Female,46,7,One Year,No
C000471,Male,34,37,Two Year,No
C000472,Female,33,26,Two Year,No
C000473,Male,40,14,Month-to-Month,No
C000474,Female,48,68,Two Year,No
C000475,Male,20,10,Month-to-Month,Yes
C000476,Female,38,8,Month-to-Month,No
C000477,Male,43,30,One Year,No
C000478,Female,53,15,Month-to-Month,No
C000479,Male,59,18,One Year,No
C000480,Female,54,8,Month-to-Month,No
C000481,Female,39,14,Month-to-Month,Yes
C000482,Female,59,6,One Year,No
C000483,Male,29,18,One Year,No
C000484,Female,59,38,Two Year,No
C000485,Male,30,13,One Year,No
C000486,Female,28,23,One Year,No
C000487,Male,33,9,Month-to-Month,No
C000488,Female,25,13,Month-to-Month,No
C000489,Male,57,3,Month-to-Month,Yes
C000490,Male,57,23,One Year,No
C000491,Female,62,15,One Year,No
C000492,Male,19,5,Month-to-Month,Yes
C000493,Male,47,32,One Year,No
C000494,Female,47,30,One Year,No
C000495,Male,29,6,Month-to-Month,No
C000496,Male,27,8,Month-to-Month,No
C000497,Male,61,67,Two Year,No
C000498,Female,28,12,One Year,No
C000499,Male,32,32,Two Year,No
C000500,Female,33,14,Month-to-Month,Yes
C000501,Male,34,26,Two Year,No
C000502,Male,43,10,Month-to-Month,No
C000503,Male,19,12,Month-to-Month,No
C000504,Female,29,43,Two Year,No
C000505,Male,43,7,Month-to-Month,No
C000506,Male,40,33,One Year,Yes
C000507,Female,35,7,Month-to-Month,No
C000508,Male,49,16,One Year,No
C000509,Female,55,43,Two Year,No
C000510,Female,64,13,Month-to-Month,No
C000511,Male,20,20,One Year,No
C000512,Female,55,7,Month-to-Month,No
C000513,Male,20,11,One Year,No
C000514,Female,47,11,Month-to-Month,No
C000515,Female,18,8,Month-to-Month,No
C000516,Male,47,1,Month-to-Month,Yes
C000517,Female,62,8,Month-to-Month,Yes
C000518,Female,49,19,Two Year,No
C000519,Female,45,3,Month-to-Month,No
C000520,Female,38,5,Month-to-Month,Yes
C000521,Female,63,3,Month-to-Month,No
C000522,Male,30,15,Month-to-Month,No
C000523,Female,44,19,One Year,No
C000524,Male,53,32,Two Year,No
C000525,Female,24,15,Month-to-Month,Yes
C000526,Male,39,35,Two Year,No
C000527,Male,27,22,One Year,No
C000528,Female,56,2,Month-to-Month,Yes
C000529,Female,32,17,One Year,No
C000530,Female,32,21,One Year,No
C000531,Male,21,9,One Year,No
C000532,Female,49,36,Two Year,No
C000533,Male,40,2,Month-to-Month,Yes
C000534,Male,23,39,Two Year,No
C000535,Male,41,19,One Year,No
C000536,Female,37,11,Month-to-Month,No
C000537,Female,54,18,One Year,Yes
C000538,Male,37,7,Month-to-Month,No
C000539,Male,29,21,Two Year,No
C000540,Female,50,29,One Year,Yes
C000541,Male,45,1,Month-to-Month,Yes
C000542,Female,25,4,Month-to-Month,No
C000543,Male,18,23,One Year,No
C000544,Female,54,6,Month-to-Month,No
C000545,Male,39,2,Month-to-Month,No
C000546,Female,23,3,Month-to-Month,No
C000547,Male,38,14,Month-to-Month,No
C000548,Female,49,8,Month-to-Month,No
C000549,Female,52,16,Month-to-Month,No
C000550,Male,32,6,Month-to-Month,No
C000551,Male,22,19,One Year,No
C000552,Female,63,8,One Year,No
C000553,Male,23,16,Month-to-Month,No
C000554,Female,42,1,Month-to-Month,Yes
C000555,Male,63,17,One Year,No
C000556,Female,57,14,Month-to-Month,No
C000557,Female,46,9,Month-to-Month,Yes
C000558,Female,24,7,Month-to-Month,No
C000559,Female,57,57,Two Year,No
C000560,Female,30,10,One Year,No
C000561,Female,55,23,One Year,No
C000562,Male,35,14,One Year,No
C000563,Male,19,26,One Year,No
C000564,Male,25,7,Month-to-Month,No
C000565,Female,28,14,One Year,No
C000566,Female,50,4,Month-to-Month,Yes
C000567,Female,55,30,One Year,Yes
C000568,Female,44,22,One Year,No
C000569,Male,37,17,One Year,No
C000570,Male,29,6,Month-to-Month,No
C000571,Female,60,8,Month-to-Month,No
C000572,Male,48,26,One Year,No
C000573,Male,44,20,One Year,No
C000574,Female,49,14,Two Year,No
C000575,Male,27,2,Month-to-Month,No
C000576,Female,20,29,One Year,No
C000577,Male,62,28,One Year,No
C000578,Female,44,52,Two Year,No
C000579,Female,52,13,One Year,No
C000580,Female,48,32,One Year,No
C000581,Female,32,9,One Year,No
C000582,Male,33,7,One Year,No
C000583,Female,30,57,Two Year,No
C000584,Female,52,2,Month-to-Month,Yes
C000585,Female,28,2,Month-to-Month,No
C000586,Male,38,38,Two Year,No
C000587,Female,28,33,One Year,No
C000588,Male,47,27,One Year,No
C000589,Female,52,7,Month-to-Month,No
C000590,Male,39,12,Month-to-Month,No
C000591,Male,55,11,One Year,Yes
C000592,Female,48,23,One Year,No
C000593,Male,31,4,Month-to-Month,No
C000594,Female,41,13,Month-to-Month,No
C000595,Female,49,31,Two Year,No
C000596,Female,53,2,Month-to-Month,Yes
C000597,Male,49,19,Two Year,No
C000598,Male,32,9,Month-to-Month,Yes
C000599,Female,60,31,One Year,No
C000600,Female,52,39,Two Year,No
C000601,Male,20,9,One Year,No
C000602,Female,33,16,Month-to-Month,Yes
C000603,Female,22,24,One Year,No
C000604,Female,38,10,Month-to-Month,No
C000605,Male,27,6,Month-to-Month,No
C000606,Male,36,59,Two Year,No
C000607,Male,42,15,One Year,No
C000608,Female,21,18,One Year,Yes
C000609,Female,46,9,Month-to-Month,No
C000610,Female,36,7,Month-to-Month,No
C000611,Male,60,4,Month-to-Month,No
C000612,Female,19,24,One Year,No
C000613,Female,27,31,One Year,No
C000614,Female,60,9,One Year,No
C000615,Female,42,30,Two Year,No
C000616,Male,37,12,Month-to-Month,No
C000617,Male,36,13,Month-to-Month,No
C000618,Female,40,4,Month-to-Month,No
C000619,Male,41,10,Month-to-Month,No
C000620,Male,28,7,Month-to-Month,No
C000621,Female,63,41,Two Year,No
C000622,Female,51,5,Month-to-Month,Yes
C000623,Male,45,28,Two Year,No
C000624,Female,22,11,Month-to-Month,No
C000625,Male,22,58,Two Year,No
C000626,Female,38,26,One Year,Yes
C000627,Male,29,33,Two Year,No
C000628,Female,21,7,Month-to-Month,No
C000629,Male,59,23,One Year,No
C000630,Male,37,69,Two Year,No
C000631,Male,55,6,Month-to-Month,No
C000632,Female,42,16,Month-to-Month,No
C000633,Male,31,2,Month-to-Month,Yes
C000634,Male,28,62,Two Year,No
C000635,Female,49,6,One Year,No
C000636,Female,28,30,One Year,No
C000637,Male,35,11,Month-to-Month,Yes
C000638,Male,44,5,Month-to-Month,No
C000639,Female,35,59,Two Year,No
C000640,Female,40,1,Month-to-Month,Yes
C000641,Female,28,24,One Year,No
C000642,Female,38,57,Two Year,No
C000643,Female,61,3,Month-to-Month,Yes
C000644,Male,22,7,One Year,Yes
C000645,Female,40,5,Month-to-Month,No
C000646,Male,58,22,One Year,No
C000647,Male,42,1,Month-to-Month,Yes
C000648,Male,58,20,One Year,Yes
C000649,Female,27,9,Month-to-Month,No
C000650,Male,39,5,Month-to-Month,Yes
C000651,Male,36,33,One Year,Yes
C000652,Female,18,13,Month-to-Month,No
C000653,Male,24,24,One Year,No
C000654,Male,21,10,Month-to-Month,Yes
C000655,Female,18,25,One Year,No
C000656,Male,32,14,Month-to-Month,No
C000657,Male,57,27,One Year,No
C000658,Male,29,12,Month-to-Month,No
C000659,Female,39,11,Month-to-Month,Yes
C000660,Female,39,7,Month-to-Month,Yes
C000661,Female,64,22,One Year,No
C000662,Male,34,7,Month-to-Month,Yes
C000663,Male,46,67,Two Year,No
C000664,Female,63,31,Two Year,No
C000665,Male,31,6,Month-to-Month,No
C000666,Male,37,16,One Year,No
C000667,Female,50,12,Month-to-Month,No
C000668,Female,60,16,Month-to-Month,No
C000669,Male,32,24,One Year,No
C000670,Male,29,28,One Year,No
C000671,Male,57,32,One Year,No
C000672,Female,37,11,Month-to-Month,No
C000673,Female,47,16,Month-to-Month,Yes
C000674,Female,55,12,Month-to-Month,No
C000675,Female,20,32,One Year,No
C000676,Male,45,13,One Year,No
C000677,Female,43,8,One Year,No
C000678,Female,47,2,Month-to-Month,Yes
C000679,Female,30,6,Month-to-Month,No
C000680,Female,30,16,Month-to-Month,No
C000681,Female,19,15,Month-to-Month,No
C000682,Male,54,14,Month-to-Month,No
C000683,Male,55,45,Two Year,No
C000684,Female,19,31,Two Year,No
C000685,Male,53,23,One Year,No
C000686,Female,43,14,Month-to-Month,Yes
C000687,Female,28,2,Month-to-Month,No
C000688,Male,25,12,Two Year,No
C000689,Male,61,2,Month-to-Month,Yes
C000690,Female,57,52,Two Year,No
C000691,Female,60,9,Month-to-Month,No
C000692,Female,39,16,Month-to-Month,Yes
C000693,Male,37,22,Two Year,No
C000694,Female,25,6,Month-to-Month,No
C000695,Female,46,17,One Year,No
C000696,Female,57,8,One Year,No
C000697,Male,43,12,Month-to-Month,No
C000698,Female,47,1,Month-to-Month,No
C000699,Female,34,14,One Year,No
C000700,Male,37,25,One Year,No
C000701,Female,33,6,Month-to-Month,Yes
C000702,Female,63,22,Two Year,No
C000703,Male,60,3,Month-to-Month,Yes
C000704,Female,24,4,Month-to-Month,No
C000705,Male,33,10,Month-to-Month,Yes
C000706,Male,62,6,Month-to-Month,No
C000707,Female,64,1,Month-to-Month,No
C000708,Female,44,51,Two Year,No
C000709,Female,40,8,Month-to-Month,No
C000710,Female,41,6,Month-to-Month,No
C000711,Male,26,17,Month-to-Month,No
